sentiment,texts
neutral,Last session day http
positive,Shanghai also really exciting precisely skyscrapers galore Good tweeps China SH BJ
negative,Recession hit Veronique Branquinho quit company shame
positive,happy bday
positive,http like
positive,great weee visitors
negative,THINK EVERYONE HATES lol
negative,soooooo wish could im school myspace completely blocked
neutral,within short time last clue
neutral,get day alright done anything yet leaving soon stepsister though
negative,bike put hold known argh total bummer
neutral,checked win
neutral,twitter tavern bore much
negative,VA weekend youngest son turns tomorrow makes kinda sad getting big check twipics
negative,coming socket feel like phones hole virgin loose
negative,hot today like hate new timetable bad week
negative,Miss
negative,Cramps
positive,guys say hi answer questions yesterday nice songs
neutral,going spiritual stagnentation exploding ego realise great ok
negative,Stupid storm river us tonight
negative,dead grandpa pays attention
negative,need retail therapy bad AHHH gim money geebus
neutral,go sleep
negative,lame go make breakfast
positive,thats cool
neutral,hey peoples dont hate grounded haha im sat eating apple watching death note anime
neutral,Huh another ScarePoint coding Sunday
positive,look found http
negative,AC fan doesnt swing way sweating hot humid day
neutral,guess depends want jury
neutral,resorted eating Mickey Ds ALONE
neutral,faux gothy chick looking sorry going camden like jimmy eat world
neutral,ask Twitter ID sun sign
neutral,go
positive,Watching Body Lies good film
positive,Happy mothers day mumm xoxo
neutral,really need put laptop start getting ready shindig missed TwitterLoves day
negative,sorry least Friday
negative,feels sorry every time printing use like new papers
negative,rog never heard esti beat acum u tweet much
neutral,always forget SOMETHING travel Newark airport
neutral,left car walked home might need someone rescue petrol Light flashing
neutral,updating brett phone beeps really looking wedding stuff next five months
positive,Hi agree Small children running happy breaking tears
positive,Hope ur havin fun da club
neutral,miss old phone worked good dropped want new one birthday
positive,thinks SG wonderful
negative,im really sorry know wallah u feel life shittttttttt
negative,happy
neutral,watching acoustic performances mood good episode miss show
neutral,oscillate one
negative,tired insomnia
positive,Thanks Ennio
neutral,totally come get bring kelslaws house
positive,seem nice generous know stuff
neutral,U dirrrrrty oh pick Hawks figured needed longshot better bet CAR
neutral,almost got kitty yesterday work
neutral,reality needs check schools time party tonight tho im going bed night night
positive,Caladesi definitely nice peaceful way spend Sunday got lil tan
neutral,still dont know would though
neutral,dang certain okay
neutral,Change plans staying Brandon Papaya Salad
negative,Dear rain suck got ta change plans tonight
neutral,starbucks love eff school work later
negative,cried whilst watching hollyoaks need life lol
positive,Hi recovering party looking forward exciting bank holiday around diy shops life cant get much
neutral,Terminator Salvation
negative,loss dumbface u wknd wan na seeeeeee ya
neutral,enter registration details every time update
positive,monday wont able love
positive,Ur cute fan Dream Little Dream Kiss appearances like Dawson Creek Make flicks
neutral,TGIF right think broke toe last night bad foot
neutral,Oherr soon plans party saturday x
positive,yr young looking dude
negative,hmmm wrong link ignore tweet
negative,cheated system Green Day tickets
negative,Tracy Berwick breaks achy breaky heart split ways hallways
positive,yep wish playing dubiln
neutral,im lady ladies move couches direct couches go
positive,Yay Block Party BOMB Blockheads Dave Thanks supporting NKOTB
neutral,February
neutral,Guess mom adopted kitty today months name Corky
positive,Happy Birthday Snickers hope best day ever Let go shopping
positive,Thank working
neutral,lol man got hrs iont woulda made wit ramen noodles Time
negative,feeling well today
negative,http ear hurts medicine GUM
neutral,LMAO know know
neutral,Gnight shar Vega
negative,underwire bra sticking poking armpit
positive,Happy Mothers Day
neutral,Yes
neutral,call Mitch Im sweden
positive,Happy star wars day May fourth
neutral,excited eat wartermelon bought day terrible sweet
negative,watched Marley cried hard
neutral,Take antibacterial school clean hands cant go loos
neutral,leaving work Trying decide return Sunday afternoon Monday meet noon UK time deadline
positive,haaaw well get class hope make
neutral,oooh sunshine patch sunshine gone time leave work replaced rain
neutral,skype call billie webcam dont work
positive,great study time followed delicious Japanese meal Arty trying get back study mood
negative,FML car prohibiting finding job
neutral,lol since got twitter little ago seems like loads people setting account
positive,want see David cook
neutral,yeh
neutral,learning tat scenic way din plan go town somehow herded
neutral,want anything specific want see puppy
negative,yeah need fricken cell number ive tried home months hes busy miss braddddddddd
neutral,Toy Story trailer premiered need computer back
neutral,ughh phone HP
neutral,hand made Dan Jenn blockers made exotic woods one called heart
positive,yay breaking
negative,bahah sadly
positive,always Champions League parties Tis awesome
positive,well stay away kinds surround happy mother day ur mom treiz
neutral,reply yet wait till confirm case somebody might translated already
negative,thats rough hubby knee surgery help end Let us know results keep prayers
neutral,might go back much earlier expected bye bye bay area
positive,Playin City Villains wishin buddies playin
positive,yep three things good haircut ability listen value taking seriously
neutral,riley hacked twitter hahaha
neutral,Big Sad Face Bing work iPhone takes regular mobile Live search
positive,liked record soothing voice
neutral,man im sad school ending high school might better
positive,Folks thought hilarious told story saw shirt wore tonight Laughter night
positive,absoute best
neutral,oh god cried much watch guys BGT http
neutral,near daily exercise starting show results
positive,Welcome
neutral,Bout hit pmark make one final meals wit housemates
neutral,get go home go work
neutral,voted
positive,got home nice party tired yet
negative,sunburn
positive,Job nice day better
positive,wish could go BEA weekend
neutral,Rupert Grint boy Ive accepted tht fancy im certain doesnt feel worth telling
positive,love books
negative,ok eye doctor guy taking forever sitting cold room jerk
negative,Im Slowing Tweets Cuase Lost Phone
positive,well thank phone
positive,would take photo stuffed animals pretty funny
neutral,TweetDeck acting really strange Hum reinstall maybe Update horizon another Adobe memory leak
positive,tikcets WANT GO
positive,Happy Mothers Day
negative,gon na hot today today Ryan last day believe SAHM since
neutral,dreaming weekend awake
negative,Oh returned Supermarket Doom find nothing drink
neutral,yay missed naptime
positive,Saturday little bit football hour nap hours soccer basketball TSU Yogurtland Life Good
positive,set new computer love Norton Ghost
positive,Ahhh mommie got new sheets bed comfy
neutral,finally sleep silence
neutral,im im lazy thank god bank holiday
negative,pretty dang tired chambers class napping
negative,poop hogging shitter
neutral,YES Im full dvr like days ago lol swear didnt dvr would never watch tv
positive,Happy muthath day moms salute
positive,Hahaha Alright
positive,suppossed support local economy LOL good congrats
positive,good know thanks
neutral,flavor day
neutral,weathers let morning ugh hada gd nite tho
neutral,listened condre scr got invitation watch live concert June Munich http postrock
positive,wow brings back many happy memories LOVE band yes know showing age care
positive,cute picture get fat licking BBQs must found chops someone else
positive,oh love sunday mornings like mum made scrambled eggs toast
negative,hate working sunny boohoo
neutral,ONLiNE http
neutral,bundy warm weather come
negative,Wondering cld make things worse already answer
neutral,Dutch marketing agency asking job applicants apply characters less http
negative,Twitter spoiled fun Frustratingly slow couldnt even bid properly
positive,haha completely agree
neutral,pack leave right
neutral,lol u headed
positive,Going bed great night friend glad know feelings classes someone else
negative,many mine included ahem shld known better back wldn missed many opportunities haha
positive,nice leave office sun still
negative,miss soccer moms
neutral,Garlic Pills Spider bite toe always hungry U killing funny
neutral,sighs Ah well Maybe second email clear get approved
neutral,Missed tweets Joe time difference UK Dont fave supporters UK
neutral,came mind said adapted family vocabulary
neutral,looking forward body works today
negative,watched yes man bahaha movie messed
negative,Sadly think know exactly put expired drawer things life span less two years
negative,much unless one pillows ends suffocating one sleeping next
neutral,Meeting best friend first thing morning gym Omg still shocked hope get better soon
negative,Wow fast next Soderling Ferrer Gilles Simon lost
neutral,Yup theory GREAT reality beyond imagination also made planning knowing VS FAIL
positive,glad know ad display problem due firewall config yr office phew
positive,woot
neutral,like Monday wish sunday cause fun day freaking jam little miss
neutral,http
neutral,Waiting last movie finish test screening Ghost Girlfriends Past glass wine lolly bag hand yay
positive,Happy StarWarsDay May everyone
neutral,Must head back office
negative,St joe dirty
neutral,http Camping black butte lake
neutral,getting messages add recieve soz new
negative,hate life
negative,sick stomach headache wish someone could come rub temples
negative,natalya got ta tell whats going call lost phone numbers broke blackberry
negative,thought unfair ppl n got depressed HATERS
negative,crying real tears
neutral,holding onto one http
positive,Panchito burfday party tonight wish kiddo
neutral,Back town Mac crashed better
neutral,ARCHIE ANDREWS THINKING veronica
positive,best things life free x
positive,misses Mom today Best Friend even though gone several yrs still miss dearly Happy Mother Day
negative,watching Blood veoh episode love could watch live action old enough
negative,bummer
neutral,truth Maxwell forget future father children
negative,http racoons ate bread
positive,sure let moms know fabulous think Almost Mother Day
neutral,Glad one baby terrified think never coming back
negative,launch today Teacher changed plans watched stupid move tesla
positive,pleasant sooo rarely time kill
positive,thank ooh see read Desert Islands http great book
positive,lol tiz good song
neutral,working internet shop think achieve goal uploading previously set time keep going
negative,bought cheesecake ice cream last week thinking good sucked much taking
neutral,causes frustration buddy
positive,THANK Mack jam
negative,Ready saddenning depressing dullful upsetting dreadful weekend
negative,sorry lack tweets ive buzy new vid saturday
positive,humble best Going works paintball day soon fuel strips doubt
negative,going bed cant take thiss longeerr maan U
positive,richard see get back good luck
neutral,Thanks really appreciate know hardest thing ever done
negative,Spent last hour signing yearbooks miss guys
positive,love every little thing
negative,mobile stopped recieving text messages Stoooopid thing
neutral,Hi Simon let know done
positive,amazing night favorite lady friend
negative,Poor little woman smushed head
positive,fixin clean house mom mother day
neutral,think people say drama fo yo mama sure even yo mama wan na listen ur drama Ode mother day
negative,Hey school hate place
negative,got stars pre wash failed rince
positive,SiSTER LAW LEFT PROM LOOKED SOO PRETTY TEARS AROUND
neutral,follow
neutral,bought three books yipee thing
negative,really bored brother went get permit Stay roads Jk lol feels like friends abandoned Except
positive,goodnight
negative,Hiya hun day Dentist appointment ouch notebook Feeling sick
negative,emily ahahha scare would work
neutral,need change monitor
neutral,know dude making Jenny watch conversations LOL online much
neutral,VOTE EVERY DAY
positive,waled past Quad want outside fun
neutral,rocked home maccas signing petition big bang tour aus LOL
negative,think food ate made sick feel good
neutral,eagerly anticipating twitpics
positive,Lots tasks complete today First wecloming new members Canadamigos Social Networking site coffee
negative,wants stay bed day go work instead sux
positive,chillen trying figure thing gettin drunk
neutral,yay doctors interview back doctor blood work
positive,Filming carnival music video reminds Cherry Festival used go back home Ahhh memories
negative,siiiiiickkk dun feel good
positive,Propellerheads harddrive long got music repo back shape felt nostalgic
positive,Glorious sunny day London town drama school fighting people swords protecting romantically structured face
negative,feel sorry hope dnt cry time
negative,would wish severe migrains would stop doc prescriptions arent working
positive,lovely friends wish came true addition gray matters one cutest movies ever
negative,Life Would Suck Without Kelly Clarkson
neutral,revising exams
positive,host next logies laughed bit really
neutral,Hi Jordan gon na u know ur busy know ur probably tired please reschedule NC leave us
positive,feel like red lea
neutral,love think trek London would bit much
neutral,hey hey
negative,thinks revising garden morning without sunscreen isnt best idea ive oucccccccch
negative,miserable feel like im gona cry sux
positive,know germany like holland well used shoppin
positive,LOL true Maybe next year loooved siggy remember password mod thing Cake
neutral,lol get watching hehe
positive,Hope great certainly spent enough time studying
neutral,btw downloaded iphone sdk
negative,Straighening hair going straight want bummerrr
negative,need botox work lips going change name Angelina Jolie thought Sad though racism
neutral,doctor laughs oh patient Arkham Aslyum work
positive,Morning GREAT DAY school go
negative,weird mood muahaz
positive,congrats Photo dre
positive,SanctuarySunday thanks joining SanctuarySunday follow Sanctuary people keep date tweets
positive,Done Disneyland kid knocked stopped hotel bar grabbed grey goose tonic way peace
neutral,lol miss hope cramps get better know painful
positive,Oh good review
negative,wont let twitter keeps saying twitter capacity something bird keeps coming
negative,extremely hungry thing house Soup like soup pouts
positive,hilarious
positive,love guy standing behind
positive,Bout hit sack got tomorrow Happy mothers day MOM
negative,lost DC hat
neutral,starting video editing first spanking movie Mina added next update
neutral,effect podcast audio version book plus added charm banter
neutral,Sunny synday morning Nicole later usual mommy got sleep
neutral,Browsing find everything university interior design
neutral,tweeted SIXTEEN DAYS miss fun though Ingrid mon frakking awesome BBQ today
neutral,visit si fr joemar dito bataan frm camiguin sum ofcmates supposed meet saturday luwas
positive,soo excited pasadena seminar find confermation email
negative,Ugh feel well sudden
negative,want new phone seen much cellphone commercials
negative,test theory right arm strum Got feelin humming new tunes
positive,http cool
positive,school days exited Amazing premier
positive,tis useful indeed esp newbies like
neutral,Gon na go see sister Mount Sinai least another hours
neutral,handle tg
neutral,backe backe MUFFINS
positive,relaxing working Mothers Day Oh well good day Hope well
neutral,lasttt mondayyy classs
positive,yup join nin access fun
neutral,walked work thinking sitting Bellagio time Wednesday
negative,unfair wan na go
positive,Download movie Good Day Black Sexy http cool movie
negative,Jus got back run sunset blvd cuzin tried kill legs still movin sittin
negative,Aww sad miss seeing guys big screen
neutral,knooww hot water bottle iss whangamata without ahhhhh
negative,eeeeep jealous work um u receive Viva broadcast online plz
positive,Thank much phaoloo
positive,hotel thankful
negative,Watching GH feel bad Carly OMG
positive,rofl like hear
negative,Ok frustrated hella dust screens blackberry
negative,ANYONE AWAKE oh god dying want go SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP
neutral,long think next weekend open going house warming party
neutral,Change plans working inside bar tonight
positive,thanks following
positive,Well good luck
